Language	Threads	Seconds	Workload	Number of keys	Value size	Requests completed
verus	10	30	g	1000	128	529823
verus	10	30	g	1000	256	531316
verus	10	30	g	1000	512	532467
verus	10	30	s	1000	128	535854
verus	10	30	s	1000	256	527505
verus	10	30	s	1000	512	515849
dafny	10	30	g	1000	128	545663
dafny	10	30	g	1000	256	549060
dafny	10	30	g	1000	512	545976
dafny	10	30	s	1000	128	519337
dafny	10	30	s	1000	256	504821
dafny	10	30	s	1000	512	501802
verus	10	30	g	1000	128	535614
verus	10	30	g	1000	256	527366
verus	10	30	g	1000	512	527917
verus	10	30	s	1000	128	539785
verus	10	30	s	1000	256	532727
verus	10	30	s	1000	512	528429
dafny	10	30	g	1000	128	547731
dafny	10	30	g	1000	256	548507
dafny	10	30	g	1000	512	553651
dafny	10	30	s	1000	128	515576
dafny	10	30	s	1000	256	513145
dafny	10	30	s	1000	512	497909
verus	10	30	g	1000	128	529929
verus	10	30	g	1000	256	526141
verus	10	30	g	1000	512	532999
verus	10	30	s	1000	128	538563
verus	10	30	s	1000	256	533005
verus	10	30	s	1000	512	523342
dafny	10	30	g	1000	128	543446
dafny	10	30	g	1000	256	541902
dafny	10	30	g	1000	512	531339
dafny	10	30	s	1000	128	515094
dafny	10	30	s	1000	256	509023
dafny	10	30	s	1000	512	502808
verus	10	30	g	1000	128	529591
verus	10	30	g	1000	256	540453
verus	10	30	g	1000	512	530497
verus	10	30	s	1000	128	534834
verus	10	30	s	1000	256	526414
verus	10	30	s	1000	512	523656
dafny	10	30	g	1000	128	553269
dafny	10	30	g	1000	256	544099
dafny	10	30	g	1000	512	542112
dafny	10	30	s	1000	128	526378
dafny	10	30	s	1000	256	496215
dafny	10	30	s	1000	512	500494
verus	10	30	g	1000	128	531388
verus	10	30	g	1000	256	530514
verus	10	30	g	1000	512	527261
verus	10	30	s	1000	128	536071
verus	10	30	s	1000	256	537973
verus	10	30	s	1000	512	522520
dafny	10	30	g	1000	128	549071
dafny	10	30	g	1000	256	537407
dafny	10	30	g	1000	512	539144
dafny	10	30	s	1000	128	525507
dafny	10	30	s	1000	256	515464
dafny	10	30	s	1000	512	502475
verus	10	30	g	1000	128	535178
verus	10	30	g	1000	256	532660
verus	10	30	g	1000	512	532343
verus	10	30	s	1000	128	526458
verus	10	30	s	1000	256	529212
verus	10	30	s	1000	512	523087
dafny	10	30	g	1000	128	545714
dafny	10	30	g	1000	256	552420
dafny	10	30	g	1000	512	538984
dafny	10	30	s	1000	128	510871
dafny	10	30	s	1000	256	504467
dafny	10	30	s	1000	512	505773
verus	10	30	g	1000	128	538175
verus	10	30	g	1000	256	537416
verus	10	30	g	1000	512	530349
verus	10	30	s	1000	128	535861
verus	10	30	s	1000	256	533308
verus	10	30	s	1000	512	527637
dafny	10	30	g	1000	128	539022
dafny	10	30	g	1000	256	540564
dafny	10	30	g	1000	512	538413
dafny	10	30	s	1000	128	525036
dafny	10	30	s	1000	256	508039
dafny	10	30	s	1000	512	509440
verus	10	30	g	1000	128	532499
verus	10	30	g	1000	256	530125
verus	10	30	g	1000	512	530861
verus	10	30	s	1000	128	535558
verus	10	30	s	1000	256	536743
verus	10	30	s	1000	512	525568
dafny	10	30	g	1000	128	557677
dafny	10	30	g	1000	256	558251
dafny	10	30	g	1000	512	549779
dafny	10	30	s	1000	128	518333
dafny	10	30	s	1000	256	513394
dafny	10	30	s	1000	512	501116
verus	10	30	g	1000	128	540021
verus	10	30	g	1000	256	531086
verus	10	30	g	1000	512	539583
verus	10	30	s	1000	128	537527
verus	10	30	s	1000	256	532359
verus	10	30	s	1000	512	531858
dafny	10	30	g	1000	128	556001
dafny	10	30	g	1000	256	550728
dafny	10	30	g	1000	512	545343
dafny	10	30	s	1000	128	523664
dafny	10	30	s	1000	256	508039
dafny	10	30	s	1000	512	509285
verus	10	30	g	1000	128	535785
verus	10	30	g	1000	256	536437
verus	10	30	g	1000	512	532182
verus	10	30	s	1000	128	532519
verus	10	30	s	1000	256	530565
verus	10	30	s	1000	512	525324
dafny	10	30	g	1000	128	536716
dafny	10	30	g	1000	256	550562
dafny	10	30	g	1000	512	545697
dafny	10	30	s	1000	128	525865
dafny	10	30	s	1000	256	509683
dafny	10	30	s	1000	512	501200
